# Constructed from biom file
#OTU ID	SCSL1	SCSL2	SCSL3	HNSPL21	LDL37	LDL38	MGLL6	SCBL22	SCBL23	SCBL24	SCML31	SCML32	SCML33	SCQGL34	SCQGL35	SCSPL12	SCSPL13	SCSPL14	SXBL40	SXBL41	SXBL42	SXSPL17	SXSPL18	WHSPL27	WHSPL28	WHSPL29	LDL39	SXSPL16	HNSPL19	MGLL4	SCQGL36	HNSPL20	MGLL5
otu00068	0.0	0.0	0.0	0.0	2.0	287.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	3.0	0.0	0.0	0.0
otu00069	0.0	0.0	0.0	0.0	0.0	30.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	92.0	305.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
otu00070	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	9.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.0	0.0	0.0
otu00071	0.0	0.0	0.0	0.0	357.0	6.0	7.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	15.0	1.0	0.0	6.0	4.0	2.0	0.0
otu00072	0.0	2.0	1.0	0.0	3.0	5.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	94.0	0.0	0.0	27.0
otu00073	0.0	0.0	0.0	4.0	7.0	0.0	0.0	22.0	1.0	1.0	24.0	16.0	19.0	0.0	0.0	23.0	12.0	1.0	0.0	0.0	16.0	0.0	0.0	20.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
otu00074	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	0.0	0.0	30.0
otu00075	2.0	5.0	0.0	0.0	0.0	0.0	36.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	59.0
otu00076	0.0	2.0	0.0	0.0	11.0	7.0	31.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	53.0	0.0	0.0	8.0
otu00077	0.0	1.0	0.0	13.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	52.0	0.0	0.0	0.0	11.0	3.0	0.0	0.0	1.0	0.0	18.0	11.0	0.0	3.0	69.0	0.0
otu00078	0.0	1.0	128.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
otu00079	0.0	0.0	0.0	0.0	2.0	98.0	17.0	1.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	1.0	0.0	16.0	0.0	0.0	5.0
otu00080	1.0	2.0	1.0	0.0	0.0	1.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	1.0	0.0	71.0
otu00081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	15.0	4.0	1.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	69.0	55.0	2.0	0.0	0.0	0.0	1.0	4.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0
otu00082	0.0	0.0	0.0	7.0	40.0	1.0	0.0	0.0	5.0	7.0	0.0	1.0	0.0	26.0	33.0	1.0	1.0	0.0	16.0	8.0	1.0	3.0	5.0	2.0	37.0	30.0	1.0	3.0	6.0	0.0	4.0	3.0	0.0
otu00083	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	12.0	7.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	65.0	53.0	5.0	0.0	0.0	0.0	1.0	5.0	0.0	16.0	0.0	0.0	2.0	0.0	0.0
otu00084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
otu00085	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.0	0.0	0.0	1.0
otu00086	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	10.0	8.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	60.0	56.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	11.0	0.0	0.0	2.0	0.0	0.0
otu00087	0.0	0.0	0.0	2.0	8.0	0.0	0.0	17.0	1.0	0.0	22.0	10.0	15.0	0.0	0.0	19.0	6.0	1.0	0.0	0.0	14.0	0.0	0.0	8.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
otu00088	4.0	15.0	4.0	0.0	41.0	21.0	35.0	1.0	1.0	0.0	0.0	0.0	0.0	4.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	1.0	26.0	12.0	1.0	8.0
otu00089	1.0	2.0	0.0	0.0	3.0	15.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	53.0	0.0	0.0	27.0
otu00090	0.0	0.0	0.0	3.0	20.0	14.0	5.0	1.0	3.0	3.0	0.0	0.0	0.0	19.0	19.0	0.0	0.0	2.0	8.0	5.0	2.0	1.0	5.0	1.0	27.0	11.0	2.0	3.0	3.0	2.0	17.0	4.0	2.0
otu00091	1.0	0.0	2.0	0.0	3.0	24.0	33.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	57.0	0.0	0.0	12.0
otu00092	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0
otu00093	1.0	1.0	1.0	0.0	19.0	11.0	56.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	6.0	1.0	9.0	21.0	0.0	1.0	18.0	1.0	0.0	4.0
otu00094	0.0	0.0	0.0	1.0	3.0	0.0	0.0	6.0	1.0	2.0	20.0	15.0	20.0	0.0	0.0	14.0	7.0	0.0	0.0	0.0	11.0	0.0	0.0	12.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
otu00095	5.0	7.0	5.0	0.0	20.0	22.0	36.0	1.0	5.0	0.0	0.0	1.0	0.0	5.0	7.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	20.0	10.0	0.0	13.0
